cause_name,sex,age,deaths
Animal contact,Male,80 plus,1045.472767
Animal contact,Male,0 to 04,2523.664531
Anxiety disorders,Female,10 to 14,NA
Anxiety disorders,Female,15 to 19,NA
Anxiety disorders,Female,20 to 24,NA
Anxiety disorders,Female,25 to 29,NA
Anxiety disorders,Female,30 to 34,NA
Anxiety disorders,Female,35 to 39,NA
Anxiety disorders,Female,40 to 44,NA
Anxiety disorders,Female,45 to 49,NA
Anxiety disorders,Female,05 to 09,NA
Anxiety disorders,Female,50 to 54,NA
Anxiety disorders,Female,55 to 59,NA
Anxiety disorders,Female,60 to 64,NA
Anxiety disorders,Female,65 to 69,NA
Anxiety disorders,Female,70 to 74,NA
Anxiety disorders,Female,75 to 79,NA
Anxiety disorders,Female,80 plus,NA
Anxiety disorders,Female,0 to 04,NA
Anxiety disorders,Male,10 to 14,NA
Anxiety disorders,Male,15 to 19,NA
Anxiety disorders,Male,20 to 24,NA
Anxiety disorders,Male,25 to 29,NA
Anxiety disorders,Male,30 to 34,NA
Anxiety disorders,Male,35 to 39,NA
Anxiety disorders,Male,40 to 44,NA
Anxiety disorders,Male,45 to 49,NA
Anxiety disorders,Male,05 to 09,NA
Anxiety disorders,Male,50 to 54,NA
Anxiety disorders,Male,55 to 59,NA
Anxiety disorders,Male,60 to 64,NA
Anxiety disorders,Male,65 to 69,NA
Anxiety disorders,Male,70 to 74,NA
Anxiety disorders,Male,75 to 79,NA
Anxiety disorders,Male,80 plus,NA
Anxiety disorders,Male,0 to 04,NA
Aortic aneurysm,Female,15 to 19,37.25914345
Aortic aneurysm,Female,20 to 24,43.2357396
Aortic aneurysm,Female,25 to 29,60.6132816
Aortic aneurysm,Female,30 to 34,73.45165534
Aortic aneurysm,Female,35 to 39,92.83457053
Aortic aneurysm,Female,40 to 44,126.1789991
Aortic aneurysm,Female,45 to 49,205.9288704
Aortic aneurysm,Female,50 to 54,257.4484305
Aortic aneurysm,Female,55 to 59,425.673796
Aortic aneurysm,Female,60 to 64,656.2434911
Aortic aneurysm,Female,65 to 69,777.3953878
Aortic aneurysm,Female,70 to 74,1060.080646
Aortic aneurysm,Female,75 to 79,1008.460056
Aortic aneurysm,Female,80 plus,1493.054155
Aortic aneurysm,Male,15 to 19,34.38478154
Aortic aneurysm,Male,20 to 24,51.007791
Aortic aneurysm,Male,25 to 29,102.9145255
Aortic aneurysm,Male,30 to 34,147.4201934
Aortic aneurysm,Male,35 to 39,272.8096515
Aortic aneurysm,Male,40 to 44,341.4058257
Aortic aneurysm,Male,45 to 49,512.513451
Aortic aneurysm,Male,50 to 54,782.6788593
Aortic aneurysm,Male,55 to 59,1240.163561
Aortic aneurysm,Male,60 to 64,1719.832082
Aortic aneurysm,Male,65 to 69,1926.954445
Aortic aneurysm,Male,70 to 74,2106.983105
Aortic aneurysm,Male,75 to 79,1761.363356
Aortic aneurysm,Male,80 plus,1911.530159
Appendicitis,Female,10 to 14,344.6128936
Appendicitis,Female,15 to 19,485.9199339
Appendicitis,Female,20 to 24,783.7770384
Appendicitis,Female,25 to 29,518.3478451
Appendicitis,Female,30 to 34,303.7144564
Appendicitis,Female,35 to 39,896.4407005
Appendicitis,Female,40 to 44,700.174942
Appendicitis,Female,45 to 49,640.9761249
Appendicitis,Female,05 to 09,174.9576815
Appendicitis,Female,50 to 54,945.2017952
Appendicitis,Female,55 to 59,451.4470834
Appendicitis,Female,60 to 64,1309.992708
Appendicitis,Female,65 to 69,808.8579948
Appendicitis,Female,70 to 74,1877.094837
Appendicitis,Female,75 to 79,1151.84455
Appendicitis,Female,80 plus,2570.695861
Appendicitis,Female,0 to 04,138.4297381
Appendicitis,Male,10 to 14,183.9700213
Appendicitis,Male,15 to 19,1657.573336
Appendicitis,Male,20 to 24,901.9935999
Appendicitis,Male,25 to 29,1756.739659
Appendicitis,Male,30 to 34,387.3318798
Appendicitis,Male,35 to 39,1803.213203
Appendicitis,Male,40 to 44,3808.88898
Appendicitis,Male,45 to 49,2100.887226
Appendicitis,Male,05 to 09,94.49803679
Appendicitis,Male,50 to 54,1376.8067
Appendicitis,Male,55 to 59,1427.003483
Appendicitis,Male,60 to 64,812.6014018
Appendicitis,Male,65 to 69,2352.898036
Appendicitis,Male,70 to 74,1444.459536
Appendicitis,Male,75 to 79,1292.948334
Appendicitis,Male,80 plus,1401.172073
Appendicitis,Male,0 to 04,32.02997017
Asthma,Female,10 to 14,483.6947116
Asthma,Female,15 to 19,490.4569016
Asthma,Female,20 to 24,604.8377323
Asthma,Female,25 to 29,819.1891863
Asthma,Female,30 to 34,1016.016593
Asthma,Female,35 to 39,2282.385604
Asthma,Female,40 to 44,3024.389055
Asthma,Female,45 to 49,5659.274533
Asthma,Female,05 to 09,478.7664766
Asthma,Female,50 to 54,5302.711098
Asthma,Female,55 to 59,9266.023516
Asthma,Female,60 to 64,13248.43332
Asthma,Female,65 to 69,15169.48785
Asthma,Female,70 to 74,19040.42791
Asthma,Female,75 to 79,16620.2314
Asthma,Female,80 plus,23937.40968
Asthma,Female,0 to 04,897.6658142
Asthma,Male,10 to 14,388.9814632
Asthma,Male,15 to 19,447.4578114
Asthma,Male,20 to 24,859.6432543
Asthma,Male,25 to 29,1471.007062
Asthma,Male,30 to 34,1180.235735
Asthma,Male,35 to 39,2946.472446
Asthma,Male,40 to 44,3395.85671
Asthma,Male,45 to 49,4589.922479
Asthma,Male,05 to 09,428.0019982
Asthma,Male,50 to 54,5327.003436
Asthma,Male,55 to 59,10254.84265
Asthma,Male,60 to 64,14174.47123
Asthma,Male,65 to 69,16831.54496
Asthma,Male,70 to 74,16367.67855
Asthma,Male,75 to 79,13841.9924
Asthma,Male,80 plus,15154.7921
Asthma,Male,0 to 04,741.6816087
Atrial fibrillation and flutter,Female,30 to 34,5.234344936
Atrial fibrillation and flutter,Female,35 to 39,4.500619946
Atrial fibrillation and flutter,Female,40 to 44,5.514826742
Atrial fibrillation and flutter,Female,45 to 49,10.35474214
Atrial fibrillation and flutter,Female,50 to 54,12.73973531
Atrial fibrillation and flutter,Female,55 to 59,28.35608912
Atrial fibrillation and flutter,Female,60 to 64,39.73193605
Atrial fibrillation and flutter,Female,65 to 69,48.69036413
Atrial fibrillation and flutter,Female,70 to 74,84.76028209
Atrial fibrillation and flutter,Female,75 to 79,111.6438386
Atrial fibrillation and flutter,Female,80 plus,279.8164368
Atrial fibrillation and flutter,Male,30 to 34,6.371593163
Atrial fibrillation and flutter,Male,35 to 39,8.735960192
Atrial fibrillation and flutter,Male,40 to 44,12.46796862
Atrial fibrillation and flutter,Male,45 to 49,18.36525208
Atrial fibrillation and flutter,Male,50 to 54,32.99775609
Atrial fibrillation and flutter,Male,55 to 59,49.03701802
Atrial fibrillation and flutter,Male,60 to 64,73.85121359
Atrial fibrillation and flutter,Male,65 to 69,72.6388631
Atrial fibrillation and flutter,Male,70 to 74,108.898776
Atrial fibrillation and flutter,Male,75 to 79,122.3827319
Atrial fibrillation and flutter,Male,80 plus,230.9365104
Attention-deficit/hyperactivity disorder,Female,10 to 14,NA
Attention-deficit/hyperactivity disorder,Female,15 to 19,NA
Attention-deficit/hyperactivity disorder,Female,20 to 24,NA
Attention-deficit/hyperactivity disorder,Female,25 to 29,NA
Attention-deficit/hyperactivity disorder,Female,30 to 34,NA
Attention-deficit/hyperactivity disorder,Female,35 to 39,NA
Attention-deficit/hyperactivity disorder,Female,40 to 44,NA
Attention-deficit/hyperactivity disorder,Female,45 to 49,NA
Attention-deficit/hyperactivity disorder,Female,05 to 09,NA
Attention-deficit/hyperactivity disorder,Female,50 to 54,NA
Attention-deficit/hyperactivity disorder,Female,55 to 59,NA
Attention-deficit/hyperactivity disorder,Female,60 to 64,NA
Attention-deficit/hyperactivity disorder,Female,65 to 69,NA
Attention-deficit/hyperactivity disorder,Female,70 to 74,NA
Attention-deficit/hyperactivity disorder,Female,75 to 79,NA
Attention-deficit/hyperactivity disorder,Female,80 plus,NA
Attention-deficit/hyperactivity disorder,Female,0 to 04,NA
Attention-deficit/hyperactivity disorder,Male,10 to 14,NA
Attention-deficit/hyperactivity disorder,Male,15 to 19,NA
Attention-deficit/hyperactivity disorder,Male,20 to 24,NA
Attention-deficit/hyperactivity disorder,Male,25 to 29,NA
Attention-deficit/hyperactivity disorder,Male,30 to 34,NA
Attention-deficit/hyperactivity disorder,Male,35 to 39,NA
Attention-deficit/hyperactivity disorder,Male,40 to 44,NA
Attention-deficit/hyperactivity disorder,Male,45 to 49,NA
Attention-deficit/hyperactivity disorder,Male,05 to 09,NA
Attention-deficit/hyperactivity disorder,Male,50 to 54,NA
Attention-deficit/hyperactivity disorder,Male,55 to 59,NA
Attention-deficit/hyperactivity disorder,Male,60 to 64,NA
Attention-deficit/hyperactivity disorder,Male,65 to 69,NA
Attention-deficit/hyperactivity disorder,Male,70 to 74,NA
Attention-deficit/hyperactivity disorder,Male,75 to 79,NA
Attention-deficit/hyperactivity disorder,Male,80 plus,NA
Attention-deficit/hyperactivity disorder,Male,0 to 04,NA
Autistic spectrum disorders,Female,10 to 14,NA
Autistic spectrum disorders,Female,15 to 19,NA
Autistic spectrum disorders,Female,20 to 24,NA
Autistic spectrum disorders,Female,25 to 29,NA
Autistic spectrum disorders,Female,30 to 34,NA
Autistic spectrum disorders,Female,35 to 39,NA
Autistic spectrum disorders,Female,40 to 44,NA
Autistic spectrum disorders,Female,45 to 49,NA
Autistic spectrum disorders,Female,05 to 09,NA
Autistic spectrum disorders,Female,50 to 54,NA
Autistic spectrum disorders,Female,55 to 59,NA
Autistic spectrum disorders,Female,60 to 64,NA
Autistic spectrum disorders,Female,65 to 69,NA
Autistic spectrum disorders,Female,70 to 74,NA
Autistic spectrum disorders,Female,75 to 79,NA
Autistic spectrum disorders,Female,80 plus,NA
Autistic spectrum disorders,Female,0 to 04,NA
Autistic spectrum disorders,Male,10 to 14,NA
Autistic spectrum disorders,Male,15 to 19,NA
Autistic spectrum disorders,Male,20 to 24,NA
Autistic spectrum disorders,Male,25 to 29,NA
Autistic spectrum disorders,Male,30 to 34,NA
Autistic spectrum disorders,Male,35 to 39,NA
Autistic spectrum disorders,Male,40 to 44,NA
Autistic spectrum disorders,Male,45 to 49,NA
Autistic spectrum disorders,Male,05 to 09,NA
Autistic spectrum disorders,Male,50 to 54,NA
Autistic spectrum disorders,Male,55 to 59,NA
Autistic spectrum disorders,Male,60 to 64,NA
Autistic spectrum disorders,Male,65 to 69,NA
Autistic spectrum disorders,Male,70 to 74,NA
Autistic spectrum disorders,Male,75 to 79,NA
Autistic spectrum disorders,Male,80 plus,NA
Autistic spectrum disorders,Male,0 to 04,NA
Bipolar disorder,Female,10 to 14,NA
Bipolar disorder,Female,15 to 19,NA
Bipolar disorder,Female,20 to 24,NA
Bipolar disorder,Female,25 to 29,NA
Bipolar disorder,Female,30 to 34,NA
Bipolar disorder,Female,35 to 39,NA
Bipolar disorder,Female,40 to 44,NA
Bipolar disorder,Female,45 to 49,NA
Bipolar disorder,Female,50 to 54,NA
Bipolar disorder,Female,55 to 59,NA
Bipolar disorder,Female,60 to 64,NA
Bipolar disorder,Female,65 to 69,NA
Bipolar disorder,Female,70 to 74,NA
Bipolar disorder,Female,75 to 79,NA
Bipolar disorder,Female,80 plus,NA
Bipolar disorder,Male,10 to 14,NA
Bipolar disorder,Male,15 to 19,NA
Bipolar disorder,Male,20 to 24,NA
Bipolar disorder,Male,25 to 29,NA
Bipolar disorder,Male,30 to 34,NA
Bipolar disorder,Male,35 to 39,NA
Bipolar disorder,Male,40 to 44,NA
Bipolar disorder,Male,45 to 49,NA
Bipolar disorder,Male,50 to 54,NA
Bipolar disorder,Male,55 to 59,NA
Bipolar disorder,Male,60 to 64,NA
Bipolar disorder,Male,65 to 69,NA
Bipolar disorder,Male,70 to 74,NA
Bipolar disorder,Male,75 to 79,NA
Bipolar disorder,Male,80 plus,NA
Bladder cancer,Female,15 to 19,5.427370883
Bladder cancer,Female,20 to 24,12.70562085
Bladder cancer,Female,25 to 29,9.303265344
Bladder cancer,Female,30 to 34,21.18100718
Bladder cancer,Female,35 to 39,32.06918375
Bladder cancer,Female,40 to 44,58.51347824
Bladder cancer,Female,45 to 49,81.49400947
Bladder cancer,Female,50 to 54,102.6438048
Bladder cancer,Female,55 to 59,155.1657118
Bladder cancer,Female,60 to 64,189.467185
Bladder cancer,Female,65 to 69,205.3002327
Bladder cancer,Female,70 to 74,219.7708912
Bladder cancer,Female,75 to 79,165.4217211
Bladder cancer,Female,80 plus,294.6458599
Bladder cancer,Male,15 to 19,11.972722
Bladder cancer,Male,20 to 24,21.28892344
Bladder cancer,Male,25 to 29,27.3884186
Bladder cancer,Male,30 to 34,79.47159327
Bladder cancer,Male,35 to 39,105.2021783
Bladder cancer,Male,40 to 44,179.5786752
Bladder cancer,Male,45 to 49,328.923112
Bladder cancer,Male,50 to 54,692.284301
Bladder cancer,Male,55 to 59,1076.012052
Bladder cancer,Male,60 to 64,1476.392919
Bladder cancer,Male,65 to 69,1453.270867
Bladder cancer,Male,70 to 74,1377.54565
Bladder cancer,Male,75 to 79,995.5177787
Bladder cancer,Male,80 plus,1261.239905
Brain and nervous system cancer,Female,10 to 14,81.94769515
Brain and nervous system cancer,Female,15 to 19,136.3690873
Brain and nervous system cancer,Female,20 to 24,157.985525
Brain and nervous system cancer,Female,25 to 29,168.2619284
Brain and nervous system cancer,Female,30 to 34,227.4762215
Brain and nervous system cancer,Female,35 to 39,269.5675614
Brain and nervous system cancer,Female,40 to 44,365.3114037
Brain and nervous system cancer,Female,45 to 49,567.7088733
Brain and nervous system cancer,Female,05 to 09,125.7255025
Brain and nervous system cancer,Female,50 to 54,600.4062728
Brain and nervous system cancer,Female,55 to 59,737.4403441
Brain and nervous system cancer,Female,60 to 64,682.1272621
Brain and nervous system cancer,Female,65 to 69,603.1593083
Brain and nervous system cancer,Female,70 to 74,379.8242878
Brain and nervous system cancer,Female,75 to 79,276.3899882
Brain and nervous system cancer,Female,80 plus,211.2652845
Brain and nervous system cancer,Female,0 to 04,88.13671766
Brain and nervous system cancer,Male,10 to 14,314.3608016
Brain and nervous system cancer,Male,15 to 19,309.2219873
Brain and nervous system cancer,Male,20 to 24,341.5920587
Brain and nervous system cancer,Male,25 to 29,463.4458666
Brain and nervous system cancer,Male,30 to 34,616.5305041
Brain and nervous system cancer,Male,35 to 39,802.0533187
Brain and nervous system cancer,Male,40 to 44,793.1403415
Brain and nervous system cancer,Male,45 to 49,1204.666521
Brain and nervous system cancer,Male,05 to 09,256.3333454
Brain and nervous system cancer,Male,50 to 54,1298.633593
Brain and nervous system cancer,Male,55 to 59,1787.935484
Brain and nervous system cancer,Male,60 to 64,1420.699693
Brain and nervous system cancer,Male,65 to 69,1153.698294
Brain and nervous system cancer,Male,70 to 74,591.1633899
Brain and nervous system cancer,Male,75 to 79,531.7782656
Brain and nervous system cancer,Male,80 plus,399.7705188
Brain and nervous system cancer,Male,0 to 04,164.7897219
Breast cancer,Female,15 to 19,68.91611657
Breast cancer,Female,20 to 24,110.7535367
Breast cancer,Female,25 to 29,447.2296565
Breast cancer,Female,30 to 34,1023.753375
Breast cancer,Female,35 to 39,1930.450485
Breast cancer,Female,40 to 44,3104.676236
Breast cancer,Female,45 to 49,4678.458482
Breast cancer,Female,50 to 54,5855.518694
Breast cancer,Female,55 to 59,7007.808645
Breast cancer,Female,60 to 64,6152.37093
Breast cancer,Female,65 to 69,5424.540255
Breast cancer,Female,70 to 74,4926.167435
Breast cancer,Female,75 to 79,3200.087187
Breast cancer,Female,80 plus,3656.197377
Breast cancer,Male,15 to 19,12.22009836
Breast cancer,Male,20 to 24,11.60571783
Breast cancer,Male,25 to 29,18.45267482
Breast cancer,Male,30 to 34,22.69254216
Breast cancer,Male,35 to 39,35.83022342
Breast cancer,Male,40 to 44,46.46295851
Breast cancer,Male,45 to 49,82.06181355
Breast cancer,Male,50 to 54,105.6450792
Breast cancer,Male,55 to 59,126.0350895
Breast cancer,Male,60 to 64,135.5753034
Breast cancer,Male,65 to 69,99.98895683
Breast cancer,Male,70 to 74,78.88403757
Breast cancer,Male,75 to 79,58.97425157
Breast cancer,Male,80 plus,91.91816115
Cardiomyopathy and myocarditis,Female,10 to 14,235.4303868
Cardiomyopathy and myocarditis,Female,15 to 19,401.8008189
Cardiomyopathy and myocarditis,Female,20 to 24,513.7850756
Cardiomyopathy and myocarditis,Female,25 to 29,585.0469954
Cardiomyopathy and myocarditis,Female,30 to 34,653.5321625
Cardiomyopathy and myocarditis,Female,35 to 39,627.4388128
Cardiomyopathy and myocarditis,Female,40 to 44,741.3585137
Cardiomyopathy and myocarditis,Female,45 to 49,1075.466542
Cardiomyopathy and myocarditis,Female,05 to 09,278.341234
Cardiomyopathy and myocarditis,Female,50 to 54,1084.265459
Cardiomyopathy and myocarditis,Female,55 to 59,1602.563871
Cardiomyopathy and myocarditis,Female,60 to 64,1920.661732
Cardiomyopathy and myocarditis,Female,65 to 69,2027.403758
Cardiomyopathy and myocarditis,Female,70 to 74,1982.487317
Cardiomyopathy and myocarditis,Female,75 to 79,1992.039963
Cardiomyopathy and myocarditis,Female,80 plus,4005.983672
Cardiomyopathy and myocarditis,Female,0 to 04,1334.038524
Cardiomyopathy and myocarditis,Male,10 to 14,225.9856283
Cardiomyopathy and myocarditis,Male,15 to 19,392.8324202
Cardiomyopathy and myocarditis,Male,20 to 24,563.3193364
Cardiomyopathy and myocarditis,Male,25 to 29,788.3054802
Cardiomyopathy and myocarditis,Male,30 to 34,975.714475
Cardiomyopathy and myocarditis,Male,35 to 39,1659.250989
Cardiomyopathy and myocarditis,Male,40 to 44,1990.040252
Cardiomyopathy and myocarditis,Male,45 to 49,2510.746759
Cardiomyopathy and myocarditis,Male,05 to 09,136.7908662
Cardiomyopathy and myocarditis,Male,50 to 54,2693.30328
Cardiomyopathy and myocarditis,Male,55 to 59,3460.458752
Cardiomyopathy and myocarditis,Male,60 to 64,3698.431657
Cardiomyopathy and myocarditis,Male,65 to 69,3404.117495
Cardiomyopathy and myocarditis,Male,70 to 74,2788.418766
Cardiomyopathy and myocarditis,Male,75 to 79,2176.208503
Cardiomyopathy and myocarditis,Male,80 plus,2991.901325
Cardiomyopathy and myocarditis,Male,0 to 04,1211.558079
Cerebrovascular disease,Female,10 to 14,692.1160444
Cerebrovascular disease,Female,15 to 19,1022.049046
Cerebrovascular disease,Female,20 to 24,1340.358754
Cerebrovascular disease,Female,25 to 29,2061.451038
Cerebrovascular disease,Female,30 to 34,2723.96223
Cerebrovascular disease,Female,35 to 39,2729.550082
Cerebrovascular disease,Female,40 to 44,4525.536572
Cerebrovascular disease,Female,45 to 49,8596.675842
Cerebrovascular disease,Female,05 to 09,697.4741937
Cerebrovascular disease,Female,50 to 54,13072.08548
Cerebrovascular disease,Female,55 to 59,21550.39586
Cerebrovascular disease,Female,60 to 64,34252.22076
Cerebrovascular disease,Female,65 to 69,45377.74826
Cerebrovascular disease,Female,70 to 74,56842.86999
Cerebrovascular disease,Female,75 to 79,58534.21367
Cerebrovascular disease,Female,80 plus,93944.80681
Cerebrovascular disease,Female,0 to 04,955.034955
Cerebrovascular disease,Male,10 to 14,976.1036851
Cerebrovascular disease,Male,15 to 19,1586.672311
Cerebrovascular disease,Male,20 to 24,2558.735847
Cerebrovascular disease,Male,25 to 29,3685.714453
Cerebrovascular disease,Male,30 to 34,5076.971626
Cerebrovascular disease,Male,35 to 39,5679.147427
Cerebrovascular disease,Male,40 to 44,8114.611165
Cerebrovascular disease,Male,45 to 49,14196.8266
Cerebrovascular disease,Male,05 to 09,513.3783198
Cerebrovascular disease,Male,50 to 54,21289.89997
Cerebrovascular disease,Male,55 to 59,34558.75722
Cerebrovascular disease,Male,60 to 64,43839.0032
Cerebrovascular disease,Male,65 to 69,48966.41827
Cerebrovascular disease,Male,70 to 74,55288.89041
Cerebrovascular disease,Male,75 to 79,50002.00981
Cerebrovascular disease,Male,80 plus,67814.58939
Cerebrovascular disease,Male,0 to 04,1149.329812
Cervical cancer,Female,15 to 19,26.10997391
