cause_name,sex,age,ylds
Alzheimer disease and other dementias,Male,70 to 74,33377.07602
Alzheimer disease and other dementias,Male,75 to 79,36929.3361
Alzheimer disease and other dementias,Male,80 plus,94240.26263
Animal contact,Female,10 to 14,2937.440689
Animal contact,Female,15 to 19,3776.479036
Animal contact,Female,20 to 24,4520.216852
Animal contact,Female,25 to 29,4963.663548
Animal contact,Female,30 to 34,5112.472091
Animal contact,Female,35 to 39,5120.566738
Animal contact,Female,40 to 44,5000.152001
Animal contact,Female,45 to 49,4940.529824
Animal contact,Female,05 to 09,2051.25497
Animal contact,Female,50 to 54,4744.393559
Animal contact,Female,55 to 59,4442.127742
Animal contact,Female,60 to 64,3773.694686
Animal contact,Female,65 to 69,2922.539759
Animal contact,Female,70 to 74,2382.730643
Animal contact,Female,75 to 79,1740.475552
Animal contact,Female,80 plus,1780.533494
Animal contact,Female,0 to 04,911.3379828
Animal contact,Male,10 to 14,5744.402232
Animal contact,Male,15 to 19,7475.5513
Animal contact,Male,20 to 24,9288.87654
Animal contact,Male,25 to 29,10917.31048
Animal contact,Male,30 to 34,11599.38197
Animal contact,Male,35 to 39,11242.34941
Animal contact,Male,40 to 44,10556.50627
Animal contact,Male,45 to 49,10065.53052
Animal contact,Male,05 to 09,3546.586604
Animal contact,Male,50 to 54,9226.841893
Animal contact,Male,55 to 59,8235.816002
Animal contact,Male,60 to 64,6473.961039
Animal contact,Male,65 to 69,4422.913332
Animal contact,Male,70 to 74,3345.208789
Animal contact,Male,75 to 79,2305.819215
Animal contact,Male,80 plus,2290.52919
Animal contact,Male,0 to 04,1271.921682
Anxiety disorders,Female,10 to 14,238866.1868
Anxiety disorders,Female,15 to 19,278626.3567
Anxiety disorders,Female,20 to 24,260720.2787
Anxiety disorders,Female,25 to 29,237832.7701
Anxiety disorders,Female,30 to 34,209253.8218
Anxiety disorders,Female,35 to 39,182345.0881
Anxiety disorders,Female,40 to 44,158486.9567
Anxiety disorders,Female,45 to 49,142488.3078
Anxiety disorders,Female,05 to 09,97723.19011
Anxiety disorders,Female,50 to 54,124836.5299
Anxiety disorders,Female,55 to 59,108388.6889
Anxiety disorders,Female,60 to 64,84243.13427
Anxiety disorders,Female,65 to 69,57293.50249
Anxiety disorders,Female,70 to 74,39209.25985
Anxiety disorders,Female,75 to 79,22937.68785
Anxiety disorders,Female,80 plus,12185.80186
Anxiety disorders,Female,0 to 04,6874.124865
Anxiety disorders,Male,10 to 14,109698.7986
Anxiety disorders,Male,15 to 19,141367.046
Anxiety disorders,Male,20 to 24,147765.9477
Anxiety disorders,Male,25 to 29,135125.9045
Anxiety disorders,Male,30 to 34,114067.2454
Anxiety disorders,Male,35 to 39,90911.9091
Anxiety disorders,Male,40 to 44,71315.50593
Anxiety disorders,Male,45 to 49,61492.48037
Anxiety disorders,Male,05 to 09,43761.63671
Anxiety disorders,Male,50 to 54,53882.58714
Anxiety disorders,Male,55 to 59,47251.17584
Anxiety disorders,Male,60 to 64,36210.2662
Anxiety disorders,Male,65 to 69,22917.76446
Anxiety disorders,Male,70 to 74,14973.70651
Anxiety disorders,Male,75 to 79,8260.796726
Anxiety disorders,Male,80 plus,4238.73642
Anxiety disorders,Male,0 to 04,3124.700463
Aortic aneurysm,Female,15 to 19,NA
Aortic aneurysm,Female,20 to 24,NA
Aortic aneurysm,Female,25 to 29,NA
Aortic aneurysm,Female,30 to 34,NA
Aortic aneurysm,Female,35 to 39,NA
Aortic aneurysm,Female,40 to 44,NA
Aortic aneurysm,Female,45 to 49,NA
Aortic aneurysm,Female,50 to 54,NA
Aortic aneurysm,Female,55 to 59,NA
Aortic aneurysm,Female,60 to 64,NA
Aortic aneurysm,Female,65 to 69,NA
Aortic aneurysm,Female,70 to 74,NA
Aortic aneurysm,Female,75 to 79,NA
Aortic aneurysm,Female,80 plus,NA
Aortic aneurysm,Male,15 to 19,NA
Aortic aneurysm,Male,20 to 24,NA
Aortic aneurysm,Male,25 to 29,NA
Aortic aneurysm,Male,30 to 34,NA
Aortic aneurysm,Male,35 to 39,NA
Aortic aneurysm,Male,40 to 44,NA
Aortic aneurysm,Male,45 to 49,NA
Aortic aneurysm,Male,50 to 54,NA
Aortic aneurysm,Male,55 to 59,NA
Aortic aneurysm,Male,60 to 64,NA
Aortic aneurysm,Male,65 to 69,NA
Aortic aneurysm,Male,70 to 74,NA
Aortic aneurysm,Male,75 to 79,NA
Aortic aneurysm,Male,80 plus,NA
Appendicitis,Female,10 to 14,1699.220092
Appendicitis,Female,15 to 19,2117.618366
Appendicitis,Female,20 to 24,2468.001343
Appendicitis,Female,25 to 29,2478.728456
Appendicitis,Female,30 to 34,2359.30872
Appendicitis,Female,35 to 39,2052.09253
Appendicitis,Female,40 to 44,1707.854424
Appendicitis,Female,45 to 49,1469.847826
Appendicitis,Female,05 to 09,1078.659321
Appendicitis,Female,50 to 54,1249.445831
Appendicitis,Female,55 to 59,1036.731787
Appendicitis,Female,60 to 64,770.6224935
Appendicitis,Female,65 to 69,522.4086781
Appendicitis,Female,70 to 74,378.7861976
Appendicitis,Female,75 to 79,230.2681146
Appendicitis,Female,80 plus,149.7372093
Appendicitis,Female,0 to 04,557.334061
Appendicitis,Male,10 to 14,3846.777941
Appendicitis,Male,15 to 19,5003.975176
Appendicitis,Male,20 to 24,5346.416939
Appendicitis,Male,25 to 29,4700.889903
Appendicitis,Male,30 to 34,3807.692325
Appendicitis,Male,35 to 39,3106.397495
Appendicitis,Male,40 to 44,2589.586404
Appendicitis,Male,45 to 49,2249.192154
Appendicitis,Male,05 to 09,2350.906998
Appendicitis,Male,50 to 54,1788.110111
Appendicitis,Male,55 to 59,1474.311484
Appendicitis,Male,60 to 64,994.6456735
Appendicitis,Male,65 to 69,585.4997965
Appendicitis,Male,70 to 74,368.0556739
Appendicitis,Male,75 to 79,202.9266205
Appendicitis,Male,80 plus,125.1051071
Appendicitis,Male,0 to 04,960.8626087
Asthma,Female,10 to 14,131604.0344
Asthma,Female,15 to 19,81829.74737
Asthma,Female,20 to 24,50513.24291
Asthma,Female,25 to 29,39648.3336
Asthma,Female,30 to 34,36906.43748
Asthma,Female,35 to 39,35802.64173
Asthma,Female,40 to 44,35335.62755
Asthma,Female,45 to 49,34762.91763
Asthma,Female,05 to 09,71612.49415
Asthma,Female,50 to 54,32626.87891
Asthma,Female,55 to 59,29959.15978
Asthma,Female,60 to 64,24906.12273
Asthma,Female,65 to 69,18721.87035
Asthma,Female,70 to 74,14616.04523
Asthma,Female,75 to 79,10038.81006
Asthma,Female,80 plus,8367.648468
Asthma,Female,0 to 04,1058.79821
Asthma,Male,10 to 14,172360.7284
Asthma,Male,15 to 19,111384.4311
Asthma,Male,20 to 24,67723.23331
Asthma,Male,25 to 29,50359.29041
Asthma,Male,30 to 34,45403.44734
Asthma,Male,35 to 39,42860.20056
Asthma,Male,40 to 44,41415.41484
Asthma,Male,45 to 49,40876.95398
Asthma,Male,05 to 09,91278.39327
Asthma,Male,50 to 54,39179.78557
Asthma,Male,55 to 59,36946.75274
Asthma,Male,60 to 64,30392.34461
Asthma,Male,65 to 69,21421.45681
Asthma,Male,70 to 74,15954.06118
Asthma,Male,75 to 79,10261.63662
Asthma,Male,80 plus,8235.372127
Asthma,Male,0 to 04,1331.52187
Atrial fibrillation and flutter,Female,30 to 34,4.486235884
Atrial fibrillation and flutter,Female,35 to 39,15.97417254
Atrial fibrillation and flutter,Female,40 to 44,24.84837989
Atrial fibrillation and flutter,Female,45 to 49,31.32514269
Atrial fibrillation and flutter,Female,50 to 54,61.1568034
Atrial fibrillation and flutter,Female,55 to 59,134.5806372
Atrial fibrillation and flutter,Female,60 to 64,200.1694725
Atrial fibrillation and flutter,Female,65 to 69,194.7845102
Atrial fibrillation and flutter,Female,70 to 74,257.1324423
Atrial fibrillation and flutter,Female,75 to 79,262.6143929
Atrial fibrillation and flutter,Female,80 plus,627.9454852
Atrial fibrillation and flutter,Male,30 to 34,11.10213003
Atrial fibrillation and flutter,Male,35 to 39,40.32196585
Atrial fibrillation and flutter,Male,40 to 44,65.0255904
Atrial fibrillation and flutter,Male,45 to 49,85.28697746
Atrial fibrillation and flutter,Male,50 to 54,209.3148552
Atrial fibrillation and flutter,Male,55 to 59,458.1422134
Atrial fibrillation and flutter,Male,60 to 64,674.315353
Atrial fibrillation and flutter,Male,65 to 69,771.0062731
Atrial fibrillation and flutter,Male,70 to 74,812.4991537
Atrial fibrillation and flutter,Male,75 to 79,746.5002485
Atrial fibrillation and flutter,Male,80 plus,1251.154307
Attention-deficit/hyperactivity disorder,Female,10 to 14,6372.171624
Attention-deficit/hyperactivity disorder,Female,15 to 19,5830.395224
Attention-deficit/hyperactivity disorder,Female,20 to 24,2394.541479
Attention-deficit/hyperactivity disorder,Female,25 to 29,544.4761525
Attention-deficit/hyperactivity disorder,Female,30 to 34,104.4709715
Attention-deficit/hyperactivity disorder,Female,35 to 39,17.64245995
Attention-deficit/hyperactivity disorder,Female,40 to 44,2.60517614
Attention-deficit/hyperactivity disorder,Female,45 to 49,0.353508777
Attention-deficit/hyperactivity disorder,Female,05 to 09,4361.586611
Attention-deficit/hyperactivity disorder,Female,50 to 54,0.043091087
Attention-deficit/hyperactivity disorder,Female,55 to 59,0.004879783
Attention-deficit/hyperactivity disorder,Female,60 to 64,0.000480972
Attention-deficit/hyperactivity disorder,Female,65 to 69,4.21E-05
Attention-deficit/hyperactivity disorder,Female,70 to 74,3.79E-06
Attention-deficit/hyperactivity disorder,Female,75 to 79,2.92E-07
Attention-deficit/hyperactivity disorder,Female,80 plus,7.83E-09
Attention-deficit/hyperactivity disorder,Female,0 to 04,422.0611596
Attention-deficit/hyperactivity disorder,Male,10 to 14,20452.45034
Attention-deficit/hyperactivity disorder,Male,15 to 19,18797.52399
Attention-deficit/hyperactivity disorder,Male,20 to 24,7736.817019
Attention-deficit/hyperactivity disorder,Male,25 to 29,1797.566637
Attention-deficit/hyperactivity disorder,Male,30 to 34,375.9438009
Attention-deficit/hyperactivity disorder,Male,35 to 39,72.10194031
Attention-deficit/hyperactivity disorder,Male,40 to 44,12.46644205
Attention-deficit/hyperactivity disorder,Male,45 to 49,2.026134539
Attention-deficit/hyperactivity disorder,Male,05 to 09,14074.93013
Attention-deficit/hyperactivity disorder,Male,50 to 54,0.298975033
Attention-deficit/hyperactivity disorder,Male,55 to 59,0.041108381
Attention-deficit/hyperactivity disorder,Male,60 to 64,0.004753738
Attention-deficit/hyperactivity disorder,Male,65 to 69,0.000463543
Attention-deficit/hyperactivity disorder,Male,70 to 74,4.73E-05
Attention-deficit/hyperactivity disorder,Male,75 to 79,4.08E-06
Attention-deficit/hyperactivity disorder,Male,80 plus,1.30E-07
Attention-deficit/hyperactivity disorder,Male,0 to 04,1330.11625
Autistic spectrum disorders,Female,10 to 14,39197.55476
Autistic spectrum disorders,Female,15 to 19,38677.75518
Autistic spectrum disorders,Female,20 to 24,36712.84564
Autistic spectrum disorders,Female,25 to 29,33581.03935
Autistic spectrum disorders,Female,30 to 34,29614.69685
Autistic spectrum disorders,Female,35 to 39,25509.84457
Autistic spectrum disorders,Female,40 to 44,21858.49377
Autistic spectrum disorders,Female,45 to 49,18783.64585
Autistic spectrum disorders,Female,05 to 09,35024.21207
Autistic spectrum disorders,Female,50 to 54,15714.25359
Autistic spectrum disorders,Female,55 to 59,12807.87251
Autistic spectrum disorders,Female,60 to 64,9452.283854
Autistic spectrum disorders,Female,65 to 69,6372.522414
Autistic spectrum disorders,Female,70 to 74,4562.469038
Autistic spectrum disorders,Female,75 to 79,2825.259397
Autistic spectrum disorders,Female,80 plus,2045.585383
Autistic spectrum disorders,Female,0 to 04,24295.847
Autistic spectrum disorders,Male,10 to 14,129588.5186
Autistic spectrum disorders,Male,15 to 19,126125.3311
Autistic spectrum disorders,Male,20 to 24,118097.3055
Autistic spectrum disorders,Male,25 to 29,106744.846
Autistic spectrum disorders,Male,30 to 34,93872.50647
Autistic spectrum disorders,Male,35 to 39,80504.219
Autistic spectrum disorders,Male,40 to 44,68545.2073
Autistic spectrum disorders,Male,45 to 49,58533.98904
Autistic spectrum disorders,Male,05 to 09,123245.3103
Autistic spectrum disorders,Male,50 to 54,48448.85856
Autistic spectrum disorders,Male,55 to 59,39051.55398
Autistic spectrum disorders,Male,60 to 64,27623.35117
Autistic spectrum disorders,Male,65 to 69,17109.15368
Autistic spectrum disorders,Male,70 to 74,11371.98738
Autistic spectrum disorders,Male,75 to 79,6582.81042
Autistic spectrum disorders,Male,80 plus,4623.407247
Autistic spectrum disorders,Male,0 to 04,100769.3207
Bipolar disorder,Female,10 to 14,13069.53969
Bipolar disorder,Female,15 to 19,62916.26201
Bipolar disorder,Female,20 to 24,131400.4098
Bipolar disorder,Female,25 to 29,155517.4641
Bipolar disorder,Female,30 to 34,138908.7076
Bipolar disorder,Female,35 to 39,113797.0825
Bipolar disorder,Female,40 to 44,90116.8206
Bipolar disorder,Female,45 to 49,72765.73672
Bipolar disorder,Female,50 to 54,58134.4652
Bipolar disorder,Female,55 to 59,45911.27331
Bipolar disorder,Female,60 to 64,32954.48535
Bipolar disorder,Female,65 to 69,21971.23702
Bipolar disorder,Female,70 to 74,15392.82874
Bipolar disorder,Female,75 to 79,9597.40221
Bipolar disorder,Female,80 plus,5802.360524
Bipolar disorder,Male,10 to 14,11135.51941
Bipolar disorder,Male,15 to 19,54273.4031
Bipolar disorder,Male,20 to 24,113892.8336
Bipolar disorder,Male,25 to 29,133940.2066
Bipolar disorder,Male,30 to 34,117580.8108
Bipolar disorder,Male,35 to 39,95824.01781
Bipolar disorder,Male,40 to 44,75234.07778
Bipolar disorder,Male,45 to 49,60262.77631
Bipolar disorder,Male,50 to 54,47301.01367
Bipolar disorder,Male,55 to 59,36889.00495
Bipolar disorder,Male,60 to 64,25204.18883
Bipolar disorder,Male,65 to 69,15304.7234
Bipolar disorder,Male,70 to 74,10133.6213
Bipolar disorder,Male,75 to 79,5966.372823
Bipolar disorder,Male,80 plus,3578.960157
Bladder cancer,Female,15 to 19,5.35212041
Bladder cancer,Female,20 to 24,8.689669342
Bladder cancer,Female,25 to 29,10.71534414
Bladder cancer,Female,30 to 34,15.11006338
Bladder cancer,Female,35 to 39,27.79281935
Bladder cancer,Female,40 to 44,50.59143776
Bladder cancer,Female,45 to 49,69.39177914
Bladder cancer,Female,50 to 54,88.74295512
Bladder cancer,Female,55 to 59,116.3101469
Bladder cancer,Female,60 to 64,124.7347722
Bladder cancer,Female,65 to 69,121.7446032
Bladder cancer,Female,70 to 74,102.7697615
Bladder cancer,Female,75 to 79,67.491672
Bladder cancer,Female,80 plus,113.9438034
Bladder cancer,Male,15 to 19,11.22573491
Bladder cancer,Male,20 to 24,25.47485867
Bladder cancer,Male,25 to 29,40.00594939
Bladder cancer,Male,30 to 34,81.92050741
Bladder cancer,Male,35 to 39,139.4769019
Bladder cancer,Male,40 to 44,216.3980746
Bladder cancer,Male,45 to 49,366.5248387
Bladder cancer,Male,50 to 54,622.7217975
Bladder cancer,Male,55 to 59,816.6844155
Bladder cancer,Male,60 to 64,976.5434954
Bladder cancer,Male,65 to 69,825.4569176
Bladder cancer,Male,70 to 74,593.8769541
Bladder cancer,Male,75 to 79,375.3753358
Bladder cancer,Male,80 plus,434.4267197
Brain and nervous system cancer,Female,10 to 14,106.3528587
Brain and nervous system cancer,Female,15 to 19,183.015893
Brain and nervous system cancer,Female,20 to 24,192.399497
Brain and nervous system cancer,Female,25 to 29,213.7210294
Brain and nervous system cancer,Female,30 to 34,235.3762299
Brain and nervous system cancer,Female,35 to 39,249.5728639
Brain and nervous system cancer,Female,40 to 44,278.520125
Brain and nervous system cancer,Female,45 to 49,388.0120009
Brain and nervous system cancer,Female,05 to 09,145.8425168
Brain and nervous system cancer,Female,50 to 54,353.7498795
Brain and nervous system cancer,Female,55 to 59,413.2246036
Brain and nervous system cancer,Female,60 to 64,338.4021282
Brain and nervous system cancer,Female,65 to 69,298.4585248
Brain and nervous system cancer,Female,70 to 74,173.0444475
Brain and nervous system cancer,Female,75 to 79,115.1238378
Brain and nervous system cancer,Female,80 plus,83.63070715
Brain and nervous system cancer,Female,0 to 04,190.3464846
Brain and nervous system cancer,Male,10 to 14,363.9574966
Brain and nervous system cancer,Male,15 to 19,341.1899303
Brain and nervous system cancer,Male,20 to 24,376.1797157
Brain and nervous system cancer,Male,25 to 29,478.972741
Brain and nervous system cancer,Male,30 to 34,513.6542812
Brain and nervous system cancer,Male,35 to 39,602.7676001
Brain and nervous system cancer,Male,40 to 44,490.9279777
Brain and nervous system cancer,Male,45 to 49,672.4120398
Brain and nervous system cancer,Male,05 to 09,279.6751255
Brain and nervous system cancer,Male,50 to 54,661.965651
Brain and nervous system cancer,Male,55 to 59,817.9060502
Brain and nervous system cancer,Male,60 to 64,620.4658521
Brain and nervous system cancer,Male,65 to 69,481.078622
Brain and nervous system cancer,Male,70 to 74,232.1397615
Brain and nervous system cancer,Male,75 to 79,196.1356109
Brain and nervous system cancer,Male,80 plus,143.621243
Brain and nervous system cancer,Male,0 to 04,329.416978
Breast cancer,Female,15 to 19,241.1295928
Breast cancer,Female,20 to 24,299.9381443
Breast cancer,Female,25 to 29,1354.71282
Breast cancer,Female,30 to 34,2758.14812
Breast cancer,Female,35 to 39,4754.449012
Breast cancer,Female,40 to 44,8087.537001
Breast cancer,Female,45 to 49,11372.36978
Breast cancer,Female,50 to 54,11263.16567
Breast cancer,Female,55 to 59,11585.62454
Breast cancer,Female,60 to 64,10223.23257
Breast cancer,Female,65 to 69,8588.32041
Breast cancer,Female,70 to 74,6532.394941
Breast cancer,Female,75 to 79,3750.300101
Breast cancer,Female,80 plus,3117.511382
Breast cancer,Male,15 to 19,44.16118564
Breast cancer,Male,20 to 24,31.77903599
Breast cancer,Male,25 to 29,57.5443648
Breast cancer,Male,30 to 34,62.52203177
Breast cancer,Male,35 to 39,93.71870718
Breast cancer,Male,40 to 44,131.1464227
Breast cancer,Male,45 to 49,211.8280935
Breast cancer,Male,50 to 54,222.3124611
Breast cancer,Male,55 to 59,224.7872815
Breast cancer,Male,60 to 64,249.6681478
Breast cancer,Male,65 to 69,175.0389755
Breast cancer,Male,70 to 74,119.5790813
Breast cancer,Male,75 to 79,80.851415
Breast cancer,Male,80 plus,96.45821433
Cardiomyopathy and myocarditis,Female,10 to 14,265.8249602
Cardiomyopathy and myocarditis,Female,15 to 19,345.0241765
Cardiomyopathy and myocarditis,Female,20 to 24,418.0388504
Cardiomyopathy and myocarditis,Female,25 to 29,546.8242674
Cardiomyopathy and myocarditis,Female,30 to 34,650.5321738
Cardiomyopathy and myocarditis,Female,35 to 39,820.6616527
Cardiomyopathy and myocarditis,Female,40 to 44,1168.288187
Cardiomyopathy and myocarditis,Female,45 to 49,1773.575321
Cardiomyopathy and myocarditis,Female,05 to 09,258.780747
Cardiomyopathy and myocarditis,Female,50 to 54,2213.701139
Cardiomyopathy and myocarditis,Female,55 to 59,2524.3181
Cardiomyopathy and myocarditis,Female,60 to 64,2649.537275
Cardiomyopathy and myocarditis,Female,65 to 69,3201.300954
Cardiomyopathy and myocarditis,Female,70 to 74,3258.490329
Cardiomyopathy and myocarditis,Female,75 to 79,2328.033095
Cardiomyopathy and myocarditis,Female,80 plus,1906.364493
Cardiomyopathy and myocarditis,Female,0 to 04,142.9070793
Cardiomyopathy and myocarditis,Male,10 to 14,513.7031977
Cardiomyopathy and myocarditis,Male,15 to 19,688.2292802
Cardiomyopathy and myocarditis,Male,20 to 24,764.8693308
Cardiomyopathy and myocarditis,Male,25 to 29,988.2796527
Cardiomyopathy and myocarditis,Male,30 to 34,1162.618692
Cardiomyopathy and myocarditis,Male,35 to 39,1571.150947
Cardiomyopathy and myocarditis,Male,40 to 44,2229.924614
Cardiomyopathy and myocarditis,Male,45 to 49,3441.815814
Cardiomyopathy and myocarditis,Male,05 to 09,521.4323958
Cardiomyopathy and myocarditis,Male,50 to 54,4482.966181
Cardiomyopathy and myocarditis,Male,55 to 59,5215.39058
Cardiomyopathy and myocarditis,Male,60 to 64,5189.700286
Cardiomyopathy and myocarditis,Male,65 to 69,5346.099565
Cardiomyopathy and myocarditis,Male,70 to 74,4891.832574
Cardiomyopathy and myocarditis,Male,75 to 79,3004.276253
Cardiomyopathy and myocarditis,Male,80 plus,2245.363588
Cardiomyopathy and myocarditis,Male,0 to 04,376.2270495
Cerebrovascular disease,Female,10 to 14,853.238649
Cerebrovascular disease,Female,15 to 19,1378.333951
Cerebrovascular disease,Female,20 to 24,2218.811478
Cerebrovascular disease,Female,25 to 29,4013.403359
Cerebrovascular disease,Female,30 to 34,6189.128849
Cerebrovascular disease,Female,35 to 39,8157.945519
Cerebrovascular disease,Female,40 to 44,10228.6183
Cerebrovascular disease,Female,45 to 49,14047.01475
Cerebrovascular disease,Female,05 to 09,400.500209
Cerebrovascular disease,Female,50 to 54,18393.90994
Cerebrovascular disease,Female,55 to 59,23027.49778
Cerebrovascular disease,Female,60 to 64,23695.62487
Cerebrovascular disease,Female,65 to 69,19907.59806
Cerebrovascular disease,Female,70 to 74,16319.22375
Cerebrovascular disease,Female,75 to 79,11121.40428
Cerebrovascular disease,Female,80 plus,6661.281793
Cerebrovascular disease,Female,0 to 04,97.13779718
Cerebrovascular disease,Male,10 to 14,1307.626008
Cerebrovascular disease,Male,15 to 19,2057.039339
Cerebrovascular disease,Male,20 to 24,3152.678105
Cerebrovascular disease,Male,25 to 29,5347.065339
Cerebrovascular disease,Male,30 to 34,7799.02483
